28,28,28,28,28,28,28,26,28,28,28,28,28,28,28
28,00,00,00,00,00,00,00,00,00,00,00,00,00,28
28,00,00,00,00,00,00,00,00,00,00,00,00,00,28
28,00,00,00,00,00,00,00,00,00,00,00,00,00,28
28,00,00,00,00,00,00,00,00,00,00,00,00,00,28
28,00,00,00,00,00,00,00,00,00,00,00,00,00,28
28,00,00,00,00,00,00,27,00,00,00,00,00,00,28
26,00,00,00,00,00,27,28,27,00,00,00,00,00,26
28,00,00,00,00,00,00,27,00,00,00,00,00,00,28
28,00,00,00,00,00,00,00,00,00,00,00,00,00,28
28,00,00,00,00,00,00,00,00,00,00,00,00,00,28
28,00,00,00,00,00,00,00,00,00,00,00,00,00,28
28,00,00,00,00,00,00,00,00,00,00,00,00,00,28
28,00,00,00,00,00,00,00,00,00,00,00,00,00,28
28,28,28,28,28,28,28,26,28,28,28,28,28,28,28
